FieldID,Column,Row2,ID2,Latitude,Longitude,Year,SampleID,Crop,GrainWeightWet
CookEast,5,A,1,46.77873,-117.08751,2013,cf13gpsw_0_5-a,SW,461
CookEast,6,A,2,46.77869,-117.08706,2013,cf13gpgb_1_6-a,GB,205
CookEast,7,A,3,46.77879,-117.08668,2013,cf13gpgb_2_7-A,GB,368
CookEast,8,A,4,46.77876,-117.08626,2013,cf13gpsb_3_8-a,SB,826
CookEast,9,A,5,46.77867,-117.08584,2013,cf13gpgb_4_9-a,GB,444
CookEast,10,A,6,46.77877,-117.08542,2013,CF13GPGB_5_10-A,GB,307
CookEast,11,A,7,46.77863,-117.08501,2013,cf13gpgb_6_11-a,GB,296
CookEast,12,A,8,46.77872,-117.08459,2013,,,
CookEast,13,A,9,46.77867,-117.08417,2013,cf13gpgb_8_13-a,GB,490
CookEast,14,A,10,46.77874,-117.08375,2013,cf13gpsw_9_14-a,SW,568
CookEast,15,A,11,46.77866,-117.08333,2013,cf13gpsw_10_15-a,SW,769
CookEast,16,A,12,46.77873,-117.08294,2013,cf13gpsw_11_16-a,SW,739
CookEast,17,A,13,46.77876,-117.0825,2013,CF13GPWW_13_17-A,WW,802
CookEast,19,A,14,46.77869,-117.08163,2013,CF13GPWW_14_19-A,WW,351
CookEast,20,A,15,46.77871,-117.08124,2013,CF13GPWW_15_20-A,WW,558
CookEast,22,A,16,46.77883,-117.08041,2013,CF13GPWW_16_22-A,WW,1100
CookEast,23,A,17,46.7788,-117.07999,2013,CF13GPWW_17_23-A,WW,1261
CookEast,1,B,18,46.77895,-117.08888,2013,,,
CookEast,2,B,19,46.77883,-117.08847,2013,cf13gpsw_18_2-b,SW,373
CookEast,3,B,20,46.77887,-117.08806,2013,cf13gpsw_19_3-b,SW,466
CookEast,4,B,21,46.77884,-117.08765,2013,cf13gpsw_20_4-b,SW,504
CookEast,5,B,22,46.77901,-117.08723,2013,cf13gpsw_21_5-b,SW,503
CookEast,6,B,23,46.779,-117.08683,2013,cf13gpsw_22_6-b,SW,498
CookEast,7,B,24,46.77908,-117.08639,2013,,,
CookEast,8,B,25,46.77905,-117.08597,2013,cf13gpsb_24_8-b,SB,867
CookEast,9,B,26,46.77895,-117.08556,2013,CF13GPGB_25_9-B,GB,440
CookEast,10,B,27,46.77906,-117.08512,2013,CF13GPGB_26_10-B,GB,326
CookEast,11,B,28,46.77892,-117.08472,2013,cf13gpgb_27_11-b,GB,271
CookEast,12,B,29,46.77901,-117.0843,2013,cf13gpgb_28_12-b,GB,305
CookEast,13,B,30,46.77896,-117.08388,2013,CF13GPGB_29_13-B,GB,347
CookEast,14,B,31,46.77902,-117.08347,2013,cf13gpsw_30_14-b,SW,721
CookEast,15,B,32,46.77894,-117.08305,2013,cf13gpsw_31_15-b,SW,774
CookEast,16,B,33,46.77901,-117.08263,2013,cf13gpsw_32_16-b,SW,433
CookEast,17,B,34,46.77905,-117.08221,2013,CF13GPWW_34_17-B,WW,876
CookEast,18,B,35,46.77885,-117.08179,2013,CF13GPWW_35_18-B,WW,853
CookEast,19,B,36,46.77901,-117.08141,2013,CF13GPWW_36_19-B,WW,794
CookEast,20,B,37,46.77899,-117.08096,2013,CF13GPWW_37_20-B,WW,723
CookEast,21,B,38,46.77885,-117.08054,2013,CF13GPWW_38_21-B,WW,1111
CookEast,22,B,39,46.77911,-117.08012,2013,CF13GPWW_39_22-B,WW,750
CookEast,23,B,40,46.77908,-117.0797,2013,CF13GPWW_40_23-B,WW,534
CookEast,24,B,41,46.77905,-117.07929,2013,CF13GPWW_41_24-B,WW,1245
CookEast,2,C,42,46.77911,-117.08871,2013,,,
CookEast,3,C,43,46.77915,-117.08832,2013,CF13GPWW_42_3-C,WW,93
CookEast,4,C,44,46.77913,-117.0879,2013,cf13gpsw_43_4-c,SW,452
CookEast,5,C,45,46.77929,-117.08746,2013,cf13gpsw_44_5-c,SW,500
CookEast,6,C,46,46.77928,-117.08706,2013,,,
CookEast,7,C,47,46.77936,-117.08665,2013,cf13gpsw_46_7-c,SW,670
CookEast,8,C,48,46.77933,-117.08623,2013,cf13gpgb_47_8-c,GB,447
CookEast,9,C,49,46.77924,-117.08581,2013,cf13gpsb_48_9-c,SB,1018
CookEast,10,C,50,46.77932,-117.08534,2013,cf13gpgb_49_10-c,GB,487
CookEast,11,C,51,46.7792,-117.08496,2013,cf13gpgb_50_11-c,GB,467
CookEast,12,C,52,46.77929,-117.08456,2013,CF13GPGB_51_12-C,GB,468
CookEast,13,C,53,46.77925,-117.08414,2013,cf13gpgb_52_13-c,GB,235
CookEast,14,C,54,46.77931,-117.08372,2013,,,
CookEast,15,C,55,46.77923,-117.0833,2013,cf13gpsw_54_15-c,SW,613
CookEast,16,C,56,46.77931,-117.0829,2013,cf13gpsw_55_16-c,SW,857
CookEast,17,C,57,46.77934,-117.08247,2013,cf13gpsw_56_17-c,SW,772
CookEast,18,C,58,46.77914,-117.08205,2013,CF13GPWW_58_18-C,WW,1090
CookEast,19,C,59,46.77925,-117.0816,2013,CF13GPWW_59_19-C,WW,980
CookEast,20,C,60,46.77928,-117.08121,2013,CF13GPWW_60_20-C,WW,952
CookEast,21,C,61,46.77913,-117.08079,2013,CF13GPWW_61_21-C,WW,918
CookEast,22,C,62,46.77942,-117.0804,2013,CF13GPWW_62_22-C,WW,933
CookEast,23,C,63,46.77937,-117.07996,2013,CF13GPWW_63_23-C,WW,1136
CookEast,24,C,64,46.77933,-117.07954,2013,CF13GPWW_64_24-C,WW,1193
CookEast,25,C,65,46.77925,-117.07912,2013,CF13GPWW_65_25-C,WW,1030
CookEast,26,C,66,46.77929,-117.07873,2013,CF13GPWW_66_26-C,WW,1068
CookEast,27,C,67,46.77927,-117.07829,2013,CF13GPWW_67_27-C,WW,845
CookEast,3,D,68,46.77944,-117.08823,2013,CF13GPWW_67_3-D,WW,333
CookEast,4,D,69,46.77941,-117.08781,2013,cf13gpsw_68_4-d,SW,566
CookEast,5,D,70,46.77959,-117.08739,2013,cf13gpsw_69_5-d,SW,632
CookEast,6,D,71,46.77956,-117.08698,2013,cf13gpsw_70_6-d,SW,418
CookEast,7,D,72,46.77965,-117.08656,2013,cf13gpsw_71_7-d,SW,586
CookEast,8,D,73,46.77964,-117.08617,2013,cf13gpsw_72_8-d,SW,662
CookEast,9,D,74,46.77951,-117.08569,2013,cf13gpsb_73_9-d,SB,1266
CookEast,10,D,75,46.77964,-117.0853,2013,cf13gpsb_74_10-d,SB,733
CookEast,11,D,76,46.77949,-117.08489,2013,,,
CookEast,12,D,77,46.77958,-117.08447,2013,,,
CookEast,13,D,78,46.77953,-117.08405,2013,,,
CookEast,14,D,79,46.77959,-117.08363,2013,,,
CookEast,15,D,80,46.77952,-117.08322,2013,cf13gpgb_79_15-d,GB,510
CookEast,16,D,81,46.77958,-117.0828,2013,cf13gpsw_80_16-d,SW,919
CookEast,17,D,82,46.77962,-117.08238,2013,cf13gpsw_81_17-d,SW,898
CookEast,18,D,83,46.77942,-117.08196,2013,CF13GPWW_83_18-D,WW,939
CookEast,19,D,84,46.77956,-117.08154,2013,CF13GPWW_84_19-D,WW,959
CookEast,20,D,85,46.77956,-117.08113,2013,CF13GPWW_85_20-D,WW,983
CookEast,21,D,86,46.77942,-117.08071,2013,CF13GPWW_86_21-D,WW,850
CookEast,22,D,87,46.77968,-117.08029,2013,CF13GPWW_87_22-D,WW,633
CookEast,23,D,88,46.77965,-117.07987,2013,CF13GPWW_88_23-D,WW,1093
CookEast,24,D,89,46.77961,-117.07945,2013,CF13GPWW_89_24-D,WW,1015
CookEast,25,D,90,46.77954,-117.07904,2013,CF13GPWW_90_25-D,WW,969
CookEast,26,D,91,46.77955,-117.07862,2013,CF13GPWW_91_26-D,WW,1108
CookEast,27,D,92,46.77956,-117.0782,2013,CF13GPWW_92_27-D,WW,889
CookEast,28,D,93,46.77949,-117.07778,2013,CF13GPWW_93_28-D,WW,763
CookEast,29,D,94,46.77966,-117.07736,2013,CF13GPWW_94_29-D,WW,716
CookEast,3,E,95,46.77972,-117.08807,2013,,,
CookEast,4,E,96,46.7797,-117.08766,2013,CF13GPWW_95_4-E,WW,477
CookEast,5,E,97,46.77987,-117.08725,2013,cf13gpsw_96_5-e,SW,497
CookEast,6,E,98,46.77985,-117.08683,2013,cf13gpsw_97_6-e,SW,523
CookEast,7,E,99,46.77993,-117.08641,2013,cf13gpsw_98_7-e,SW,544
CookEast,8,E,100,46.7799,-117.08599,2013,cf13gpsw_99_8-e,SW,547
CookEast,9,E,101,46.77981,-117.08557,2013,cf13gpgb_100_9-e,GB,437
CookEast,10,E,102,46.77993,-117.08516,2013,cf13gpsb_101_10-e,SB,954
CookEast,11,E,103,46.77978,-117.08474,2013,cf13gpgb_102_11-e,GB,470
CookEast,12,E,104,46.77988,-117.08435,2013,,,
CookEast,13,E,105,46.77982,-117.0839,2013,,,
CookEast,14,E,106,46.77988,-117.08348,2013,,,
CookEast,15,E,107,46.7798,-117.08307,2013,,,
CookEast,16,E,108,46.77987,-117.08265,2013,cf13gpsw_107_16-e,SW,786
CookEast,17,E,109,46.77988,-117.08219,2013,cf13gpsw_108_17-e,SW,972
CookEast,18,E,110,46.77967,-117.08175,2013,CF13GPWW_110_18-E,WW,881
CookEast,19,E,111,46.77985,-117.08139,2013,CF13GPWW_111_19-E,WW,731
CookEast,20,E,112,46.77985,-117.08097,2013,CF13GPWW_112_20-E,WW,866
CookEast,21,E,113,46.77969,-117.08054,2013,CF13GPWW_113_21-E,WW,952
CookEast,22,E,114,46.77997,-117.08014,2013,CF13GPWW_114_22-E,WW,581
CookEast,23,E,115,46.77992,-117.0797,2013,CF13GPWW_115_23-E,WW,1028
CookEast,24,E,116,46.7799,-117.0793,2013,CF13GPWW_116_24-E,WW,917
CookEast,25,E,117,46.77983,-117.07889,2013,CF13GPWW_117_25-E,WW,993
CookEast,26,E,118,46.77984,-117.07847,2013,CF13GPWW_118_26-E,WW,1021
CookEast,27,E,119,46.77983,-117.07802,2013,CF13GPWW_119_27-E,WW,1163
CookEast,28,E,120,46.77978,-117.07763,2013,CF13GPWW_120_28-E,WW,867
